epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.09607,1.09927,2.84614,1.32612,0.01792,1,0.18542,0.08752,0.71391,2.88795,1.28877,6e-05,6e-05,6e-05
2,5.21624,0.82431,2.48179,1.11658,0.01792,1,0.94886,0.76766,0.65845,2.25498,0.88846,0.000137228,0.000137228,0.000137228
3,6.10523,0.64838,1.80505,1.02129,0.01792,1,0.97836,0.83434,0.51846,2.01818,0.86178,0.000211288,0.000211288,0.000211288
4,6.92248,0.66751,1.52437,0.97379,1,0.87613,0.99117,0.80737,0.63002,1.69425,0.88761,0.00028218,0.00028218,0.00028218
5,7.7158,0.62008,1.13905,0.96794,0.99489,0.97674,0.9937,0.82291,0.65126,1.44489,0.89184,0.000349904,0.000349904,0.000349904
6,8.5125,0.66389,0.93304,0.99353,0.99849,0.97674,0.99411,0.84737,0.60481,1.2909,0.87527,0.00041446,0.00041446,0.00041446
7,9.32496,0.62665,0.88462,0.95074,0.9751,0.91067,0.99037,0.80309,0.6877,0.93594,0.88001,0.000475848,0.000475848,0.000475848
8,10.1399,0.65779,0.84086,1.00034,1,0.90683,0.9903,0.83037,0.6335,0.84755,0.88532,0.000534068,0.000534068,0.000534068
9,10.9154,0.67749,0.7964,1.00252,1,0.94567,0.995,0.81989,0.60864,0.74123,0.87781,0.00058912,0.00058912,0.00058912
10,11.7427,0.66234,0.77713,0.98791,1,0.97227,0.995,0.838,0.56595,0.65745,0.8563,0.000641004,0.000641004,0.000641004
11,12.5313,0.63727,0.77179,0.94415,0.97667,0.97375,0.99365,0.82105,0.67468,0.62542,0.88232,0.00068972,0.00068972,0.00068972
12,13.2737,0.60929,0.69891,0.94917,0.95512,0.99005,0.99275,0.80901,0.73195,0.58904,0.90367,0.000735268,0.000735268,0.000735268
13,14.0506,0.64799,0.75337,0.98633,0.99984,0.93023,0.98941,0.8461,0.60561,0.55646,0.86704,0.000777648,0.000777648,0.000777648
14,14.8109,0.63098,0.6864,0.96479,1,0.95119,0.9897,0.85216,0.54966,0.62905,0.85503,0.00081686,0.00081686,0.00081686
15,15.5715,0.62727,0.69616,0.96255,0.99842,0.93023,0.99034,0.82531,0.60808,0.7642,0.86616,0.000852904,0.000852904,0.000852904
16,16.3543,0.59928,0.70564,0.98995,0.99842,0.93023,0.99034,0.82531,0.60808,0.7642,0.86616,0.00088578,0.00088578,0.00088578
17,17.1761,0.59762,0.70033,0.97871,0.99795,0.90698,0.9813,0.84467,0.57024,0.74008,0.86289,0.000915488,0.000915488,0.000915488
18,17.9396,0.60217,0.65478,0.94935,0.99993,0.93023,0.98561,0.83937,0.5372,0.61522,0.85918,0.000942028,0.000942028,0.000942028
19,18.6721,0.57054,0.67526,0.96155,0.99993,0.93023,0.98561,0.83937,0.5372,0.61522,0.85918,0.0009654,0.0009654,0.0009654
20,19.5372,0.62543,0.66808,0.94929,0.9756,0.93003,0.98764,0.86154,0.53125,0.55412,0.85777,0.000985604,0.000985604,0.000985604
21,20.3414,0.6032,0.65275,0.95321,1,0.95125,0.99095,0.86517,0.54413,0.54319,0.86224,0.00100264,0.00100264,0.00100264
22,21.0747,0.58232,0.62292,0.94376,1,0.95125,0.99095,0.86517,0.54413,0.54319,0.86224,0.00101651,0.00101651,0.00101651
23,21.8421,0.6199,0.65917,0.99809,0.97553,0.92709,0.98582,0.88315,0.51845,0.52971,0.85161,0.00102721,0.00102721,0.00102721
24,22.7136,0.57956,0.63632,0.95017,0.97553,0.92709,0.98582,0.88315,0.51845,0.52971,0.85161,0.00103474,0.00103474,0.00103474
25,23.4925,0.61017,0.66126,0.9829,1,0.94963,0.99279,0.84918,0.54547,0.53854,0.85381,0.0010391,0.0010391,0.0010391
26,24.2209,0.59631,0.62198,0.94228,1,0.94963,0.99279,0.84918,0.54547,0.53854,0.85381,0.00101,0.00101,0.00101
27,24.9567,0.58072,0.65246,0.94233,0.94266,0.93023,0.98713,0.87238,0.51368,0.50934,0.85493,0.0009704,0.0009704,0.0009704
28,25.6706,0.58572,0.6495,0.94186,0.94266,0.93023,0.98713,0.87238,0.51368,0.50934,0.85493,0.0009308,0.0009308,0.0009308
29,26.4141,0.50313,0.6014,0.90598,0.96823,0.97674,0.99277,0.86489,0.55554,0.50255,0.86528,0.0008912,0.0008912,0.0008912
30,27.1155,0.56282,0.62735,0.95433,0.96823,0.97674,0.99277,0.86489,0.55554,0.50255,0.86528,0.0008516,0.0008516,0.0008516
31,27.8512,0.53094,0.61678,0.9337,0.97687,0.9821,0.99295,0.87516,0.5268,0.46702,0.86513,0.000812,0.000812,0.000812
32,28.6037,0.53388,0.60057,0.91734,0.97687,0.9821,0.99295,0.87516,0.5268,0.46702,0.86513,0.0007724,0.0007724,0.0007724
33,29.3805,0.47979,0.55979,0.91601,0.93465,0.99789,0.99017,0.88356,0.4786,0.4678,0.85477,0.0007328,0.0007328,0.0007328
34,30.1196,0.49468,0.56333,0.91413,0.93465,0.99789,0.99017,0.88356,0.4786,0.4678,0.85477,0.0006932,0.0006932,0.0006932
35,30.9008,0.50938,0.57029,0.92763,0.95429,0.9712,0.98953,0.8691,0.4961,0.49667,0.8576,0.0006536,0.0006536,0.0006536
36,31.6266,0.49061,0.5634,0.91468,0.95429,0.9712,0.98953,0.8691,0.4961,0.49667,0.8576,0.000614,0.000614,0.000614
37,32.3716,0.50925,0.54847,0.92332,0.95405,0.96574,0.99034,0.88621,0.47586,0.4968,0.85332,0.0005744,0.0005744,0.0005744
38,33.1479,0.48006,0.529,0.90465,0.95405,0.96574,0.99034,0.88621,0.47586,0.4968,0.85332,0.0005348,0.0005348,0.0005348
39,33.9428,0.49157,0.54616,0.91927,0.97028,0.97674,0.99057,0.88203,0.48866,0.49957,0.85209,0.0004952,0.0004952,0.0004952
40,34.6806,0.49565,0.56435,0.92131,0.97028,0.97674,0.99057,0.88203,0.48866,0.49957,0.85209,0.0004556,0.0004556,0.0004556
41,43.1661,0.49764,0.91074,0.89913,0.96786,0.97674,0.99082,0.88268,0.48523,0.50932,0.85157,0.000416,0.000416,0.000416
42,43.9804,0.47717,0.90989,0.88739,0.96786,0.97674,0.99082,0.88268,0.48523,0.50932,0.85157,0.0003764,0.0003764,0.0003764
43,44.7777,0.45168,0.84004,0.8876,0.91108,1,0.98636,0.88058,0.48755,0.53159,0.85595,0.0003368,0.0003368,0.0003368
