epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0934,1.39187,2.81443,1.62366,0.0107,0.9642,0.31881,0.20116,1.13395,2.82392,1.23183,0.000326923,0.000326923,0.0676346
2,65.2761,1.1787,1.90332,1.43762,0.33227,0.63316,0.40354,0.25503,1.26441,1.85095,1.37212,0.000660095,0.000660095,0.0346345
3,85.6114,1.1242,1.6531,1.40451,0.26575,0.90325,0.50786,0.36914,0.97712,2.04427,1.1033,0.000992619,0.000992619,0.00163364
4,103.873,1.12271,1.45092,1.37309,0.42056,0.80237,0.65935,0.46799,1.05301,1.56525,1.15689,0.000997803,0.000997803,0.000997803
5,123.724,1.10878,1.38412,1.3751,0.55703,0.51801,0.55977,0.40929,0.92829,1.70121,1.07251,0.000996097,0.000996097,0.000996097
6,142.828,1.08298,1.22487,1.35706,0.58587,0.69281,0.76737,0.53564,1.09588,2.35463,1.15134,0.000993906,0.000993906,0.000993906
7,162.396,1.07665,1.21367,1.34405,0.32589,0.52738,0.40341,0.26605,1.22401,2.16767,1.30088,0.000991232,0.000991232,0.000991232
8,181.114,1.04778,1.10186,1.30281,0.79322,0.76504,0.86001,0.67894,0.90948,0.96853,1.06532,0.000988079,0.000988079,0.000988079
9,201.73,1.03616,1.08107,1.32229,0.86121,0.78581,0.8677,0.55063,1.27879,0.93616,1.22006,0.000984449,0.000984449,0.000984449
10,220.246,1.01074,1.05814,1.29947,0.83402,0.74853,0.86602,0.67542,0.89293,0.8587,1.04395,0.000980345,0.000980345,0.000980345
11,239.717,0.98761,1.00536,1.26825,0.78634,0.77016,0.82786,0.6508,0.81269,0.91187,1.00558,0.000975773,0.000975773,0.000975773
12,258.264,1.00756,1.06639,1.29089,0.64178,0.71423,0.72839,0.56649,0.90673,1.17489,1.08113,0.000970736,0.000970736,0.000970736
13,276.746,0.99839,1.01278,1.28946,0.87899,0.80776,0.88425,0.72346,0.80795,0.81464,1.00614,0.000965239,0.000965239,0.000965239
14,296.29,0.96124,0.98052,1.2444,0.76128,0.80188,0.77664,0.59284,0.91865,0.90532,1.04942,0.000959289,0.000959289,0.000959289
15,314.975,0.92211,0.90906,1.22442,0.82237,0.86422,0.91459,0.60995,1.13599,0.77757,1.16447,0.000952889,0.000952889,0.000952889
16,334.318,0.89601,0.87902,1.2155,0.82327,0.71645,0.84303,0.61653,1.02571,0.7865,1.09773,0.000946048,0.000946048,0.000946048
17,352.772,0.88312,0.89637,1.2021,0.81574,0.78645,0.88116,0.63615,1.0397,0.82647,1.12357,0.000938772,0.000938772,0.000938772
18,372.812,0.9057,0.89589,1.21143,0.75679,0.78059,0.81386,0.59691,1.04196,1.03091,1.1244,0.000931067,0.000931067,0.000931067
19,391.518,0.8791,0.88075,1.20272,0.88706,0.77897,0.884,0.61957,1.09875,0.74061,1.15856,0.000922942,0.000922942,0.000922942
20,409.517,0.90797,0.85412,1.21444,0.92362,0.79405,0.90679,0.66698,0.97932,0.72995,1.08703,0.000914405,0.000914405,0.000914405
21,429.456,0.89092,0.84216,1.20803,0.86695,0.77823,0.87765,0.70359,0.75513,0.791,0.99047,0.000905463,0.000905463,0.000905463
22,447.617,0.89109,0.82479,1.21437,0.83788,0.88534,0.9302,0.71521,0.85849,0.68475,1.0427,0.000896127,0.000896127,0.000896127
23,467.283,0.85377,0.78331,1.18306,0.88754,0.87663,0.9138,0.72201,0.77331,0.67712,0.99083,0.000886404,0.000886404,0.000886404
24,485.784,0.86759,0.79772,1.18278,0.89289,0.88593,0.91285,0.71069,0.89822,0.64856,1.03917,0.000876305,0.000876305,0.000876305
25,504.766,0.84065,0.77541,1.17339,0.8136,0.82007,0.87847,0.7308,0.75041,0.68775,0.98342,0.000865839,0.000865839,0.000865839
26,523.215,0.82593,0.75269,1.15756,0.90882,0.84271,0.92975,0.68753,0.98798,0.62591,1.07174,0.000855018,0.000855018,0.000855018
27,541.606,0.85153,0.75643,1.17691,0.88903,0.84324,0.90054,0.6549,0.99962,0.68613,1.08166,0.000843851,0.000843851,0.000843851
28,561.417,0.86337,0.75653,1.17975,0.87022,0.82691,0.89792,0.72773,0.75013,0.7405,0.98972,0.000832349,0.000832349,0.000832349
29,579.456,0.79034,0.72792,1.14544,0.89848,0.87471,0.93002,0.7431,0.76623,0.6225,0.99085,0.000820525,0.000820525,0.000820525
30,599.075,0.81185,0.70554,1.14831,0.87108,0.90425,0.92881,0.73429,0.78789,0.62543,0.9811,0.000808389,0.000808389,0.000808389
31,617.247,0.79443,0.71591,1.13688,0.84895,0.82121,0.88222,0.72918,0.72094,0.68268,0.97698,0.000795954,0.000795954,0.000795954
32,637.082,0.82676,0.72155,1.15213,0.91811,0.78116,0.89872,0.70409,0.8258,0.65827,1.03243,0.000783231,0.000783231,0.000783231
33,656.958,0.78439,0.67549,1.13513,0.8711,0.87702,0.90535,0.74119,0.70444,0.61395,0.95209,0.000770234,0.000770234,0.000770234
34,676.523,0.76009,0.65629,1.12025,0.91502,0.84777,0.92394,0.66428,1.03067,0.65573,1.12623,0.000756976,0.000756976,0.000756976
35,697.57,0.78529,0.66163,1.13383,0.89794,0.87109,0.91856,0.77349,0.69639,0.59658,0.94202,0.000743468,0.000743468,0.000743468
36,719.51,0.76023,0.66151,1.1367,0.86531,0.88055,0.92129,0.7322,0.75235,0.60887,0.9797,0.000729725,0.000729725,0.000729725
37,739.681,0.77703,0.65184,1.14485,0.87062,0.88119,0.88826,0.72593,0.7121,0.61948,0.95998,0.000715761,0.000715761,0.000715761
38,761.814,0.73175,0.62734,1.09823,0.9395,0.84529,0.94071,0.74257,0.80539,0.56606,0.98922,0.000701588,0.000701588,0.000701588
39,782.489,0.74926,0.65955,1.10845,0.91116,0.81499,0.91726,0.76234,0.66754,0.57972,0.93403,0.000687222,0.000687222,0.000687222
40,804.338,0.70948,0.6103,1.09464,0.91809,0.79325,0.9184,0.75179,0.71679,0.62958,0.9707,0.000672675,0.000672675,0.000672675
41,826.033,0.72089,0.65208,1.09577,0.82368,0.82678,0.8525,0.69109,0.74666,0.7297,0.99337,0.000657963,0.000657963,0.000657963
42,847.139,0.75693,0.63927,1.10496,0.85906,0.83716,0.90408,0.74717,0.71885,0.66749,0.97179,0.000643101,0.000643101,0.000643101
43,868.71,0.70332,0.60167,1.09022,0.91619,0.83783,0.92371,0.73734,0.83083,0.60655,1.00166,0.000628101,0.000628101,0.000628101
44,889.319,0.75694,0.62409,1.104,0.88692,0.8876,0.9071,0.74077,0.73442,0.59947,0.97321,0.000612981,0.000612981,0.000612981
45,910.178,0.74445,0.60836,1.10904,0.90868,0.86173,0.90919,0.74773,0.6795,0.59424,0.93477,0.000597754,0.000597754,0.000597754
46,929.1,0.70669,0.57741,1.08479,0.87073,0.77986,0.85938,0.67795,0.7542,0.73318,0.98422,0.000582435,0.000582435,0.000582435
47,949.408,0.68465,0.58232,1.07225,0.89164,0.84116,0.8836,0.69923,0.78506,0.64803,0.97409,0.00056704,0.00056704,0.00056704
48,969.11,0.69142,0.57298,1.07686,0.90016,0.88668,0.91518,0.71882,0.83856,0.5689,0.99876,0.000551584,0.000551584,0.000551584
49,989.93,0.67336,0.55699,1.06379,0.91528,0.85728,0.90963,0.75648,0.66438,0.57199,0.93078,0.000536081,0.000536081,0.000536081
50,1010.25,0.66064,0.53233,1.0523,0.85341,0.89927,0.91464,0.75225,0.66946,0.55225,0.94227,0.000520548,0.000520548,0.000520548
51,1031.81,0.69525,0.5822,1.07969,0.88584,0.90351,0.92166,0.74881,0.72889,0.50748,0.95688,0.000505,0.000505,0.000505
52,1052.8,0.69173,0.56389,1.08251,0.90635,0.85398,0.9131,0.77979,0.65742,0.53693,0.92281,0.000489452,0.000489452,0.000489452
53,1075.63,0.70695,0.55136,1.07819,0.94671,0.83317,0.91736,0.77826,0.66246,0.53716,0.9302,0.000473919,0.000473919,0.000473919
54,1096.68,0.69092,0.56581,1.0702,0.94818,0.84343,0.92227,0.78545,0.62367,0.50159,0.91308,0.000458416,0.000458416,0.000458416
55,1118.68,0.663,0.54099,1.05518,0.91208,0.856,0.91591,0.76027,0.70254,0.524,0.95085,0.00044296,0.00044296,0.00044296
56,1140,0.66018,0.54465,1.065,0.86899,0.83512,0.87387,0.72119,0.63881,0.58078,0.91419,0.000427565,0.000427565,0.000427565
57,1159.56,0.64398,0.51174,1.04846,0.88921,0.88852,0.91631,0.77019,0.65867,0.55683,0.94847,0.000412246,0.000412246,0.000412246
58,1180.16,0.63483,0.50811,1.04942,0.89947,0.87161,0.90404,0.76282,0.64831,0.58967,0.93778,0.000397019,0.000397019,0.000397019
59,1199.61,0.62127,0.50696,1.03894,0.84898,0.87225,0.89845,0.7655,0.62792,0.55145,0.93199,0.000381899,0.000381899,0.000381899
60,1219.76,0.60841,0.48774,1.02761,0.89363,0.8739,0.90736,0.76566,0.65062,0.53855,0.93109,0.000366899,0.000366899,0.000366899
61,1238.96,0.5911,0.47153,1.02021,0.91897,0.89369,0.90934,0.76743,0.65425,0.53745,0.92915,0.000352037,0.000352037,0.000352037
62,1259.52,0.61798,0.49225,1.02935,0.88162,0.88422,0.91429,0.73855,0.77021,0.53443,0.99135,0.000337325,0.000337325,0.000337325
63,1279.18,0.60629,0.48998,1.02879,0.9059,0.87334,0.92081,0.77525,0.65003,0.52412,0.93894,0.000322778,0.000322778,0.000322778
64,1298.82,0.62392,0.50226,1.03842,0.90771,0.81416,0.89794,0.76846,0.62573,0.52712,0.92478,0.000308412,0.000308412,0.000308412
65,1318.69,0.5909,0.45502,1.01355,0.84382,0.90004,0.91249,0.78246,0.63588,0.52762,0.93497,0.000294239,0.000294239,0.000294239
66,1338.57,0.59852,0.4846,1.02043,0.89292,0.86666,0.90747,0.76697,0.64723,0.55067,0.93836,0.000280275,0.000280275,0.000280275
67,1358.37,0.58168,0.46515,1.00704,0.91614,0.85673,0.90158,0.76623,0.65822,0.55371,0.94192,0.000266532,0.000266532,0.000266532
68,1379.2,0.58961,0.48068,1.0076,0.88128,0.89826,0.89942,0.76943,0.63079,0.50453,0.92947,0.000253024,0.000253024,0.000253024
69,1398.94,0.58914,0.47012,1.01409,0.93644,0.88168,0.91387,0.76684,0.65128,0.47681,0.93104,0.000239766,0.000239766,0.000239766
70,1419.01,0.56438,0.44399,1.00399,0.88946,0.8792,0.92559,0.78706,0.61491,0.49922,0.92023,0.000226769,0.000226769,0.000226769
71,1439.4,0.57319,0.44857,1.01079,0.86112,0.89813,0.90196,0.76507,0.64787,0.54208,0.94818,0.000214046,0.000214046,0.000214046
72,1460.33,0.57213,0.45089,1.00182,0.89326,0.88134,0.91649,0.77773,0.63152,0.49859,0.91519,0.000201611,0.000201611,0.000201611
73,1480.71,0.56588,0.46422,1.00525,0.91107,0.88566,0.92433,0.78607,0.61417,0.46377,0.91811,0.000189475,0.000189475,0.000189475
74,1501.58,0.55486,0.42581,0.9974,0.89125,0.87543,0.91533,0.79242,0.59339,0.46921,0.91042,0.000177651,0.000177651,0.000177651
75,1520.93,0.58204,0.4453,1.00435,0.89415,0.88456,0.902,0.7749,0.60093,0.47659,0.91045,0.000166149,0.000166149,0.000166149
76,1541.4,0.55962,0.44608,1.00027,0.88778,0.88456,0.90461,0.79046,0.59184,0.49143,0.91291,0.000154982,0.000154982,0.000154982
77,1560.45,0.54326,0.40742,0.99312,0.89351,0.87464,0.90281,0.77542,0.63148,0.50024,0.92893,0.000144161,0.000144161,0.000144161
78,1581.13,0.54659,0.41731,0.99263,0.9151,0.87554,0.90819,0.77107,0.61508,0.51201,0.92056,0.000133695,0.000133695,0.000133695
79,1600.21,0.53875,0.40477,0.98736,0.93283,0.86549,0.9093,0.76672,0.62235,0.49994,0.91492,0.000123596,0.000123596,0.000123596
