epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1118,0.46017,1.78721,0.9768,0.57068,0.79028,0.60315,0.55494,0.38693,1.27144,0.88308,0.000546704,0.000546704,0.000546704
2,48.2218,0.48844,1.16983,0.98006,0.85463,0.84441,0.89113,0.80833,0.43546,0.79825,0.82764,0.00108054,0.00108054,0.00108054
3,66.8047,0.51475,0.90939,0.95537,0.71723,0.57088,0.54453,0.48399,0.43559,1.89103,0.85125,0.00159238,0.00159238,0.00159238
4,78.1988,0.50752,0.75795,0.94308,0.93915,0.90942,0.94105,0.87228,0.4049,0.59201,0.81532,0.00156798,0.00156798,0.00156798
5,89.0955,0.48014,0.68727,0.93412,0.9435,0.93517,0.94508,0.87188,0.43776,0.61869,0.82212,0.00153497,0.00153497,0.00153497
6,99.9845,0.4747,0.64113,0.93514,0.95144,0.93301,0.95235,0.88871,0.38963,0.52217,0.80169,0.00150197,0.00150197,0.00150197
7,110.866,0.4685,0.61039,0.929,0.93284,0.95342,0.95807,0.88132,0.40956,0.47945,0.81821,0.00146896,0.00146896,0.00146896
8,121.784,0.46248,0.5756,0.92389,0.93616,0.95486,0.96195,0.90169,0.36226,0.43105,0.80412,0.00143595,0.00143595,0.00143595
9,132.482,0.4495,0.53946,0.91667,0.96042,0.93076,0.9557,0.89945,0.34136,0.41269,0.79299,0.00140295,0.00140295,0.00140295
10,143.136,0.43075,0.50191,0.91411,0.92448,0.93928,0.94725,0.90109,0.32345,0.41599,0.79243,0.00136994,0.00136994,0.00136994
11,153.8,0.42181,0.50535,0.92037,0.94131,0.95054,0.96436,0.91236,0.3401,0.39136,0.79321,0.00133693,0.00133693,0.00133693
12,164.29,0.42364,0.48476,0.91384,0.95087,0.94687,0.95457,0.89645,0.35315,0.38881,0.79442,0.00130393,0.00130393,0.00130393
13,174.955,0.41781,0.47355,0.91246,0.91262,0.94108,0.95634,0.89988,0.32753,0.38663,0.78319,0.00127092,0.00127092,0.00127092
14,185.581,0.41565,0.4653,0.91095,0.95553,0.93069,0.96971,0.92155,0.32499,0.38046,0.79053,0.00123791,0.00123791,0.00123791
15,196.148,0.406,0.44122,0.90323,0.93232,0.94621,0.95233,0.90815,0.31991,0.35332,0.78435,0.00120491,0.00120491,0.00120491
16,206.773,0.40805,0.43306,0.9042,0.94051,0.95115,0.96663,0.91427,0.3474,0.35097,0.78906,0.0011719,0.0011719,0.0011719
17,217.002,0.40261,0.44424,0.90992,0.9553,0.94966,0.96629,0.91671,0.32573,0.34157,0.78244,0.00113889,0.00113889,0.00113889
18,227.8,0.39983,0.43349,0.89995,0.93907,0.95198,0.96705,0.91662,0.30137,0.32033,0.77839,0.00110589,0.00110589,0.00110589
19,238.602,0.38366,0.41355,0.89246,0.92364,0.95317,0.97478,0.92421,0.30172,0.32756,0.77632,0.00107288,0.00107288,0.00107288
20,249.203,0.38628,0.41025,0.89824,0.94028,0.94711,0.97392,0.92551,0.29862,0.31613,0.77706,0.00103987,0.00103987,0.00103987
21,259.808,0.36594,0.39296,0.88143,0.91362,0.94382,0.96481,0.91943,0.30294,0.33395,0.77569,0.00100687,0.00100687,0.00100687
22,270.737,0.37808,0.40531,0.89612,0.94152,0.94765,0.96879,0.92163,0.29679,0.32979,0.78208,0.000973861,0.000973861,0.000973861
23,281.349,0.37462,0.39313,0.88995,0.94067,0.95454,0.97457,0.92317,0.30703,0.32896,0.7852,0.000940855,0.000940855,0.000940855
24,292.243,0.39484,0.41092,0.90217,0.94406,0.94971,0.97645,0.92764,0.301,0.29829,0.77798,0.000907848,0.000907848,0.000907848
25,302.904,0.3626,0.37286,0.88725,0.94686,0.94652,0.97461,0.9314,0.28223,0.30252,0.77741,0.000874842,0.000874842,0.000874842
26,313.787,0.37376,0.38177,0.89083,0.93717,0.95519,0.97489,0.92794,0.29645,0.29934,0.77643,0.000841835,0.000841835,0.000841835
27,324.579,0.36818,0.37093,0.89018,0.93796,0.95486,0.97826,0.93018,0.28439,0.28775,0.7754,0.000808828,0.000808828,0.000808828
28,335.401,0.36924,0.38244,0.89388,0.94458,0.95008,0.97801,0.93319,0.28344,0.2796,0.77268,0.000775822,0.000775822,0.000775822
29,352.936,0.35815,0.3683,0.89031,0.95613,0.93697,0.97586,0.93334,0.28136,0.28434,0.77256,0.000742815,0.000742815,0.000742815
